"hour","F0","F0.09","F0.17","F0.26","F0.34","F0.43","F0.52","F0.6","F0.69","F0.78","F0.86","F0.95","F1.03","F1.12","F1.21","F1.29","F1.38","F1.46","F1.55","F1.64","F1.72","F1.81","F1.89","F1.98","F2.07","F2.15","F2.24","F2.33","F2.41","F2.5","F2.58","F2.67","F2.76","F2.84","F2.93","F3.01","F3.1","F3.19","F3.27","F3.36","F3.45","F3.53","F3.62","F3.7","F3.79","F3.88","F3.96","F4.05","F4.13","F4.22","F4.31","F4.39","F4.48","F4.57","F4.65","F4.74","F4.82","F4.91","F5","F5.08","F5.17","F5.25","F5.34","F5.43","F5.51","F5.6","F5.68","F5.77","F5.86","F5.94","F6.03","F6.12","F6.2","F6.29","F6.37","F6.46","F6.55","F6.63","F6.72","F6.8","F6.89","F6.98","F7.06","F7.15","F7.24","F7.32","F7.41","F7.49","F7.58","F7.67","F7.75","F7.84","F7.92","F8.01","F8.1","F8.18","F8.27","F8.35","F8.44","F8.53","F8.61","F8.7","F8.79","F8.87","F8.96","F9.04","F9.13","F9.22","F9.3","F9.39","F9.47","F9.56","F9.65","F9.73","F9.82","F9.91","F9.99","F10.08","F10.16","F10.25","F10.34","F10.42","F10.51","F10.59","F10.68","F10.77","F10.85","F10.94"
"00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604166666666667,0.375,0.0208333333333333,0,0.25,0.625,0.125,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.270833333333333,0.3125,0.0625,0,0.0208333333333333,0.104166666666667,0.145833333333333,0.3125,0.333333333333333,0.0833333333333333,0,0,0,0,0,0,0,0.125,0.0833333333333333,0.0625,0.291666666666667,0.145833333333333,0.270833333333333,0.0208333333333333,0,0.0416666666666667,0,0,0.0416666666666667,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01",0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.541666666666667,0.395833333333333,0.0625,0.0208333333333333,0.270833333333333,0.6875,0,0,0,0,0,0,0,0,0,0,0.125,0.25,0.354166666666667,0.270833333333333,0,0,0.0416666666666667,0.1875,0.208333333333333,0.270833333333333,0.25,0.0416666666666667,0,0,0,0,0,0,0.0625,0.166666666666667,0.0625,0.104166666666667,0.291666666666667,0.208333333333333,0.104166666666667,0,0.0416666666666667,0.0208333333333333,0.0208333333333333,0.0416666666666667,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458333333333333,0.541666666666667,0,0.0833333333333333,0.291666666666667,0.625,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.229166666666667,0.208333333333333,0.479166666666667,0.0625,0,0.0208333333333333,0.208333333333333,0.0416666666666667,0.145833333333333,0.5,0.0833333333333333,0,0,0,0.0208333333333333,0,0,0.0416666666666667,0.208333333333333,0.0208333333333333,0.0416666666666667,0.270833333333333,0.354166666666667,0.0833333333333333,0.0416666666666667,0,0,0.0208333333333333,0,0.0416666666666667,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03",0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0.0208333333333333,0,0,0.0208333333333333,0,0,0.0208333333333333,0,0,0,0,0,0,0.0208333333333333,0.125,0.3125,0,0.25,0.395833333333333,0.354166666666667,0,0,0.0208333333333333,0,0,0.0208333333333333,0,0.0208333333333333,0,0.125,0.3125,0.229166666666667,0.333333333333333,0,0,0.0208333333333333,0.229166666666667,0.208333333333333,0.208333333333333,0.1875,0.104166666666667,0,0,0,0,0,0.0208333333333333,0.1875,0.0625,0.104166666666667,0.166666666666667,0.1875,0.1875,0.0833333333333333,0.0208333333333333,0,0.0208333333333333,0.0208333333333333,0,0.0208333333333333,0,0.0416666666666667,0,0,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0,0,0,0.0208333333333333,0,0,0,0,0.0208333333333333,0,0.0208333333333333,0,0.0208333333333333,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04",0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0.0208333333333333,0,0.25,0.479166666666667,0.208333333333333,0,0,0,0,0,0,0,0,0,0.1875,0.125,0.229166666666667,0.145833333333333,0.0208333333333333,0,0.0416666666666667,0.0416666666666667,0.166666666666667,0.125,0.0625,0.0625,0,0,0.0208333333333333,0,0,0.0833333333333333,0.208333333333333,0.166666666666667,0.166666666666667,0.125,0.0833333333333333,0.0416666666666667,0.145833333333333,0.0208333333333333,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05",0,0,0.0208333333333333,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104166666666667,0,0,0.0416666666666667,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.0625,0.0416666666666667,0,0,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0,0,0,0.0208333333333333,0.0625,0.1875,0.0416666666666667,0.229166666666667,0.0208333333333333,0.0625,0.0416666666666667,0.0416666666666667,0.0416666666666667,0.0208333333333333,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06",0,0,0,0,0,0.0416666666666667,0,0.104166666666667,0,0,0,0,0,0,0.0208333333333333,0,0,0,0.0208333333333333,0.0416666666666667,0,0.0416666666666667,0,0,0.0833333333333333,0.0833333333333333,0,0,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0.0208333333333333,0,0.0208333333333333,0.0416666666666667,0,0.0416666666666667,0.104166666666667,0.0833333333333333,0.0625,0.0833333333333333,0.0208333333333333,0.0208333333333333,0,0,0.0208333333333333,0.0208333333333333,0,0,0.0208333333333333,0,0,0.0416666666666667,0,0.0625,0.0208333333333333,0,0.0416666666666667,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"07",0,0,0,0,0,0,0,0.0416666666666667,0,0,0,0,0,0.0208333333333333,0.0208333333333333,0,0,0,0.0208333333333333,0.0416666666666667,0.0208333333333333,0,0,0,0,0.0416666666666667,0,0,0,0,0,0,0,0.0208333333333333,0,0,0.0208333333333333,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08",0,0,0,0,0,0.0625,0,0.0208333333333333,0,0,0.0208333333333333,0,0,0.0208333333333333,0.0416666666666667,0,0.0208333333333333,0,0.0208333333333333,0,0.0208333333333333,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09",0,0,0,0,0,0.0625,0.0208333333333333,0,0,0,0,0.0208333333333333,0,0.0208333333333333,0.0208333333333333,0,0,0,0.0416666666666667,0.0625,0.0208333333333333,0,0,0,0,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
